1, 377, 14725, 
2, 0, 8306, 
3, 377, 12838, 
4, 377, 12082, 
5, 755, 12461, 
6, 378, 9817, 
7, 1132, 14726, 
8, 1133, 9440, 
9, 1887, 13971, 
10, 1887, 15858, 
11, 2265, 15103, 
12, 3398, 14726, 
13, 3776, 16614, 
14, 4908, 13970, 
15, 5663, 16991, 
16, 6796, 14726, 
17, 8307, 18879, 
18, 9062, 18124, 
19, 10950, 17746, 
20, 12837, 17368, 
21, 14725, 19256, 
22, 16991, 20767, 
23, 19256, 21522, 
24, 21900, 22278, 
25, 24542, 26053, 
26, 27185, 26809, 
27, 30584, 29074, 
28, 34738, 27186, 
29, 37758, 33227, 
30, 41911, 33227, 
31, 45687, 36248, 
32, 51351, 35870, 
33, 55882, 40024, 
34, 60413, 38513, 
35, 65699, 44554, 
36, 72118, 43799, 
37, 78159, 49085, 
38, 84200, 49463, 
39, 90620, 57392, 
40, 98548, 53994, 
41, 105722, 69853, 
42, 113274, 70607, 
43, 121203, 77782, 
44, 131776, 74761, 
45, 139704, 81180, 
46, 149144, 84200, 
47, 158584, 88732, 
48, 169911, 87221, 
49, 180106, 96661, 
50, 190678, 101947, 
51, 202005, 100059, 
52, 215976, 104212, 
53, 228059, 118183, 
54, 240142, 114030, 
55, 252979, 129510, 
56, 268460, 126867, 
57, 282808, 144235, 
58, 297156, 126867, 
59, 311504, 131020, 
60, 331138, 150654, 
61, 346241, 141970, 
62, 363610, 144613, 
63, 379846, 151409, 
64, 400236, 154808, 
65, 418359, 165002, 
66, 437238, 169156, 
67, 456117, 178218, 
68, 480282, 173309, 
69, 501049, 192188, 
70, 521817, 197852, 
71, 543716, 207670, 
72, 569391, 204648, 
73, 592047, 226549, 
74, 615457, 232589, 
75, 639622, 243539, 
76, 668695, 236743, 
77, 697014, 261286, 
78, 722312, 268459, 
79, 747610, 279410, 
80, 780459, 274501, 
81, 808022, 301310, 
82, 837097, 308862, 
83, 866170, 324342, 
84, 903550, 315657, 
85, 934512, 348884, 
86, 965852, 356058, 
87, 1000211, 365876, 
88, 1039102, 362855, 
89, 1072707, 398725, 
90, 1107821, 405900, 
91, 1142559, 422890, 
92, 1188624, 414584, 
93, 1224494, 449321, 
94, 1263008, 461781, 
95, 1300388, 481793, 
96, 1347585, 484813, 
97, 1387609, 513510, 
98, 1429144, 524837, 
99, 1470677, 544849, 
