
0, 378, 378, 
1, 2643, 1133, 
2, 1510, 755, 
3, 2266, 1510, 
4, 2643, 1133, 
5, 6797, 1888, 
6, 7174, 1888, 
7, 4531, 1132, 
8, 4531, 1511, 
9, 4909, 1888, 
10, 5286, 2266, 
11, 5664, 2643, 
12, 6042, 3398, 
13, 7930, 4909, 
14, 12460, 7174, 
15, 14348, 8307, 
16, 13216, 9062, 
17, 12460, 9440, 
18, 32850, 12838, 
19, 19257, 13593, 
20, 18124, 13970, 
21, 19634, 15480, 
22, 36247, 18502, 
23, 24543, 20012, 
24, 29074, 23787, 
25, 29829, 25298, 
26, 34360, 28696, 
27, 40023, 35492, 
28, 47197, 37381, 
29, 50218, 42289, 
30, 61545, 42666, 
31, 55127, 47197, 
32, 60035, 51729, 
33, 64189, 56637, 
34, 72118, 61545, 
35, 73251, 67587, 
36, 103835, 77782, 
37, 88354, 80047, 
38, 95906, 89109, 
39, 121959, 108366, 
40, 113274, 110632, 
41, 115540, 122336, 
42, 167646, 128755, 
43, 149145, 128755, 
44, 156318, 141971, 
45, 160850, 147634, 
46, 173687, 155563, 
47, 192188, 183504, 
48, 191811, 181994, 
49, 196720, 183126, 
50, 236744, 203893, 
51, 267327, 290738, 
52, 248826, 232967, 
53, 282053, 260530, 
54, 279787, 346619, 
55, 289982, 405899, 
56, 365498, 298289, 
57, 343976, 329250, 
58, 383244, 304330, 
59, 349263, 348884, 
60, 437238, 387398, 
61, 371917, 379846, 
62, 435728, 422891, 
63, 448944, 429686, 
64, 466690, 434972, 
65, 483681, 433463, 
66, 520684, 528235, 
67, 550890, 496141, 
68, 534277, 517663, 
69, 563351, 530878, 
70, 609037, 792164, 
71, 610925, 560330, 
72, 740813, 636224, 
73, 708718, 650949, 
74, 787634, 831432, 
75, 670205, 698902, 
76, 742323, 804624, 
77, 778194, 761580, 
78, 835964, 767622, 
79, 860884, 769887, 
80, 850312, 805757, 
81, 996057, 826902, 
82, 969627, 906571, 
83, 969627, 954524, 
84, 1019845, 983976, 
85, 1014936, 1017203, 
86, 991149, 975668, 
87, 1022866, 1003232, 
88, 1064777, 1052695, 
89, 1095362, 1077992, 
90, 1193910, 1111597, 
91, 1182583, 1147845, 
92, 1227515, 1190512, 
93, 1266405, 1226381, 
94, 1303408, 1284152, 
95, 1339656, 1305674, 
96, 1380812, 1356647, 
97, 1433673, 1395916, 
98, 1464635, 1437449, 
99, 1503526, 1476718, 
